class PrimaSimpleDGPP;
1000;250000;0.251039
1000;400000;0.423246
1000;500000;0.52939
1000;700000;0.526252
1000;800000;0.529853
2000;250000;0.535313
2000;400000;0.814182
2000;500000;1.04294
2000;700000;1.49712
2000;800000;1.71742
4000;250000;1.29269
4000;400000;1.84015
4000;500000;2.30892
4000;700000;3.1891
4000;800000;3.68713
5000;250000;1.72453
5000;400000;2.41507
5000;500000;2.96468
5000;700000;4.11848
5000;800000;4.81892

class PrimaSimpleVKB;
1000;250000;0.00362835
1000;400000;0.00426158
1000;500000;0.00464215
1000;700000;0.00480707
1000;800000;0.0045608
2000;250000;0.0114717
2000;400000;0.0117687
2000;500000;0.0121139
2000;700000;0.013328
2000;800000;0.0133219
4000;250000;0.0436174
4000;400000;0.0424419
4000;500000;0.0420754
4000;700000;0.043257
4000;800000;0.0437447
5000;250000;0.068323
5000;400000;0.0646401
5000;500000;0.0646765
5000;700000;0.0656466
5000;800000;0.0659254

class PrimaSimpleVSSS;
1000;250000;2.46784
1000;400000;4.05978
1000;500000;5.14639
1000;700000;5.19518
1000;800000;5.10902
2000;250000;5.07009
2000;400000;8.27279
2000;500000;10.3856
2000;700000;14.5847
2000;800000;16.9524
4000;250000;10.7127
4000;400000;17.1236
4000;500000;21.5502
4000;700000;29.7789
4000;800000;33.9746
5000;250000;13.6766
5000;400000;21.6994
5000;500000;26.5401
5000;700000;37.066
5000;800000;43.0041

class PrimaBinTreeDGPP;
1000;250000;0.290314
1000;400000;0.449504
1000;500000;0.431181
1000;700000;0.413933
1000;800000;0.407407
2000;250000;1.17398
2000;400000;0.800863
2000;500000;0.686597
2000;700000;0.922706
2000;800000;1.0432
4000;250000;7.14889
4000;400000;9.08382
4000;500000;9.02387
4000;700000;8.44287
4000;800000;9.48265
5000;250000;10.0793
5000;400000;13.1377
5000;500000;15.8774
5000;700000;17.0063
5000;800000;16.3744

class PrimaBinTreeVKB;
1000;250000;0.00357827
1000;400000;0.00469606
1000;500000;0.004831
1000;700000;0.00464981
1000;800000;0.00451104
2000;250000;0.00962946
2000;400000;0.0102467
2000;500000;0.0111246
2000;700000;0.0115058
2000;800000;0.0118453
4000;250000;0.0326217
4000;400000;0.0332607
4000;500000;0.0337187
4000;700000;0.0354832
4000;800000;0.0354666
5000;250000;0.0496016
5000;400000;0.0501701
5000;500000;0.0505912
5000;700000;0.0526405
5000;800000;0.0517788

class PrimaBinTreeVSSS;
1000;250000;0.00543519
1000;400000;0.0077148
1000;500000;0.00968369
1000;700000;0.0097057
1000;800000;0.00970347
2000;250000;0.00787813
2000;400000;0.010331
2000;500000;0.0117288
2000;700000;0.0151093
2000;800000;0.0166259
4000;250000;0.0151773
4000;400000;0.0180572
4000;500000;0.0191741
4000;700000;0.0224707
4000;800000;0.0234325
5000;250000;0.0201792
5000;400000;0.0227163
5000;500000;0.0244108
5000;700000;0.0271808
5000;800000;0.0296336

